CODE;price;old price;ostatok
126765;34575;54020.00;0
126766;58265;91040.00;0
126767;21430;33485.00;0
126768;47445;74135.00;0
126769;35660;55715.00;0
126770;44115;68925.00;0
126771;36480;57000.00;7
126772;43930;68640.00;5
126773;56635;88490.00;13
126774;79300;123900.00;2
126775;39900;62340.00;0
126776;40420;63150.00;61
126777;28530;44575.00;49
126778;31980;49965.00;23
126779;7890;12325.00;74
126780;22515;35175.00;3
126781;27460;42900.00;36
126782;39225;61290.00;0
126783;11320;17690.00;0
126784;19145;29915.00;0
126785;28285;44195.00;0
126786;42380;66215.00;24
126787;42380;66215.00;7
126788;49720;77690.00;50
126789;49720;77690.00;26
126790;34500;53900.00;0
126791;15960;24935.00;0
126792;105315;164550.00;0
126793;58115;90800.00;0
126794;81740;127715.00;0
126795;81740;127715.00;0
126796;81740;127715.00;0
126797;37730;58950.00;0
126798;37730;58950.00;0
126799;37730;58950.00;0
126800;60050;93825.00;0
126801;60050;93825.00;0
126802;33740;52715.00;0
126803;8465;13225.00;6
126807;9600;15000.00;0
126809;25330;39575.00;1
126810;25330;39575.00;1
126811;18205;28445.00;0
126812;30070;46985.00;0
126813;43280;67625.00;0
126814;43935;68645.00;0
126815;43930;68640.00;0
126816;59480;92940.00;1
126817;59480;92940.00;0
126818;73290;114515.00;1
126819;73290;114515.00;0
126820;13560;21185.00;0
126821;13555;21175.00;2
126822;20720;32375.00;0
126823;20720;32375.00;1
